dataset,DeepSeek-R1-0528-Qwen3-8B,Fin-R1,Llama-3.1-8B-UltraMedical,Qwen2.5-Coder-7B-Instruct
math500,0.9466666666666667,0.7633333333333333,0.46,0.6733333333333333
livecodebench,0.6287519747235387,0.07109004739336493,0.1484992101105845,0.2796208530805687
finqa,0.7107558139534884,0.6918604651162791,0.5377906976744186,0.6424418604651163
medqa,0.8102094240837696,0.6112565445026178,0.6845549738219895,0.47643979057591623
