metric,mean,std,median,q25,q75
T_stop,9120.8,1951.285287620498,10000.0,10000.0,10000.0
exact_oracle_match,0.8,0.41039134083406165,1.0,1.0,1.0
stable_train,0.8,0.41039134083406165,1.0,1.0,1.0
blocking_pairs_train,0.2,0.41039134083406165,0.0,0.0,0.0
resolved_fraction_at_stop,0.8614583333333334,0.027268262028136064,0.8541666666666666,0.8489583333333333,0.875
test_mean_score,0.6766488080268557,0.011196546364059754,0.6821053297659861,0.6821053297659861,0.6821053297659861
test_welfare,2.7065952321074227,0.04478618545623902,2.7284213190639446,2.7284213190639446,2.7284213190639446
normalized_test_welfare,0.9602686092374724,0.08152709364117919,1.0,1.0,1.0
