algorithm,seed,stopped,T_stop,final_exact,final_regret,best_regret,final_cum_regret,n_checks,elapsed_seconds
p2etg,0,True,2466,True,0.0,0.0,3.207588340589953,138,0.04905212530866265
p2etg,1,True,3204,True,0.0,0.0,54.605218954921284,179,0.061664666049182415
p2etg,2,True,1548,True,0.0,0.0,0.0,87,0.029269749764353037
p2etg,3,True,3096,True,0.0,0.0,128.94505129171625,173,0.06366425007581711
p2etg,4,True,3906,True,0.0,0.0,49.90828463507885,218,0.07467820774763823
p2etg,5,True,3762,True,0.0,0.0,15.075726422625017,210,0.07167558325454593
p2etg,6,True,2502,True,0.0,0.0,32.30453490057563,140,0.04965145792812109
p2etg,7,True,1962,True,0.0,0.0,98.15220322205265,110,0.038578958716243505
p2etg,8,True,3258,True,0.0,0.0,25.66070672471964,182,0.0609785420820117
p2etg,9,True,1908,True,0.0,0.0,2.5660706724719624,107,0.03815124975517392
preflid,0,True,399,True,0.0,0.0,6.606451654958748,134,0.08448641700670123
preflid,1,True,753,False,0.07127974090199896,0.0,14288.154011633791,252,0.06576841697096825
preflid,2,True,348,True,0.0,0.0,10.07643303280186,117,0.027379124891012907
preflid,3,True,243,True,0.0,0.0,40.34099924094994,82,0.027627292089164257
preflid,4,True,450,True,0.0,0.0,56.03962702159574,151,0.0282645421102643
preflid,5,True,555,True,0.0,0.0,8.287324585434758,186,0.04929249966517091
preflid,6,True,465,True,0.0,0.0,12.585811693192829,156,0.04024749994277954
preflid,7,True,183,True,0.0,0.0,18.55132952402294,62,0.018841042183339596
preflid,8,True,651,True,0.0,0.0,17.359085621631724,218,0.16926925024017692
preflid,9,True,441,True,0.0,0.0,17.61686458975022,148,0.07029491662979126
