algorithm,feedback,n_seeds,T_stop_mean,T_stop_median,T_stop_std,exact_oracle_match_mean,exact_oracle_match_median,exact_oracle_match_std,false_certification_mean,false_certification_median,false_certification_std,resolved_fraction_at_stop_mean,resolved_fraction_at_stop_median,resolved_fraction_at_stop_std,test_welfare_mean,test_welfare_median,test_welfare_std,certify_seconds_total_mean,certify_seconds_total_median,certify_seconds_total_std
matching_id,bt,20,9120.8,10000.0,1951.285287620498,0.8,1.0,0.41039134083406165,0.05,0.0,0.22360679774997894,0.8614583333333334,0.8541666666666666,0.027268262028136064,2.7065952321074227,2.7284213190639446,0.04478618545623902,0.20936131890630344,0.0209252674831077,0.7974364167594915
matching_id,replay,20,10000.0,10000.0,0.0,0.6,1.0,0.5026246899500346,0.0,0.0,0.0,0.48125,0.4791666666666667,0.05231308972642647,2.67806298401346,2.7284213190639446,0.06602421678999124,1.0269034366938286,0.04582415998447685,2.6128653998622258
p2etg,bt,20,10000.0,10000.0,0.0,0.65,1.0,0.4893604849295929,,,,0.8697916666666666,0.875,0.02425328548310819,2.6902256668900315,2.7284213190639446,0.05340412248579484,,,
p2etg,replay,20,10000.0,10000.0,0.0,0.75,1.0,0.4442616583193193,,,,0.4843749999999999,0.4791666666666667,0.05690409175002036,2.701138710368293,2.7284213190639446,0.04848246792963019,,,
preflid,bt,20,1200.0,1200.0,0.0,0.7,1.0,0.4701623459816272,,,,0.5708333333333334,0.5833333333333334,0.07447427830234389,2.6956821886291626,2.7284213190639446,0.05130902123538641,,,
preflid,replay,20,1200.0,1200.0,0.0,0.2,0.0,0.4103913408340617,,,,0.21874999999999994,0.2291666666666666,0.05594254832817586,2.486818261615917,2.552229272906928,0.18359188115504574,,,
