metric,mean,std,median,q25,q75
T_stop,200000.0,0.0,200000.0,200000.0,200000.0
exact_oracle_match,0.95,0.22360679774997902,1.0,1.0,1.0
stable_train,0.95,0.22360679774997902,1.0,1.0,1.0
blocking_pairs_train,0.05,0.22360679774997894,0.0,0.0,0.0
resolved_fraction_at_stop,0.8297991071428571,0.009631488485958739,0.8303571428571429,0.8231026785714286,0.8353794642857143
test_mean_score,0.67218978757388,0.0028591968147763653,0.6728291234177692,0.6728291234177692,0.6728291234177692
test_welfare,5.37751830059104,0.022873574518210923,5.382632987342154,5.382632987342154,5.382632987342154
normalized_test_welfare,0.9935666624798303,0.028770760034598507,1.0,1.0,1.0
