algorithm,seed,stopped,T_stop,final_exact,final_regret,best_regret,final_cum_regret,n_checks,elapsed_seconds,target,arm
preflid,6,False,39996,True,0.0,0.0,1201.3208443660897,6666,1.8003717917017639,0.7,PrefLID-nocert
preflid,7,False,39996,True,0.0,0.0,178.13050724954354,6666,1.6940265409648418,0.7,PrefLID-nocert
preflid,8,False,39996,True,0.0,0.0,149.89379166448703,6666,1.7042906661517918,0.7,PrefLID-nocert
preflid,9,False,39996,True,0.0,0.0,28.65924060079198,6666,1.7059307917952538,0.7,PrefLID-nocert
preflid,10,False,39996,True,0.0,0.0,17.73327853213359,6666,1.6568610002286732,0.7,PrefLID-nocert
preflid,11,False,39996,True,0.0,0.0,233.59434541699378,6666,1.661399916280061,0.7,PrefLID-nocert
preflid,12,False,39996,True,0.0,0.0,55.77204513406788,6666,1.7010823339223862,0.7,PrefLID-nocert
preflid,13,False,39996,True,0.0,0.0,274.3975875370838,6666,1.8222659169696271,0.7,PrefLID-nocert
preflid,14,True,39276,True,0.0,0.0,173.76126657761276,6547,1.6470349999144673,0.7,PrefLID-nocert
preflid,15,True,13914,True,0.0,0.0,186.7411479094748,2320,0.6185474582016468,0.7,PrefLID-nocert
preflid,16,False,39996,True,0.0,0.0,123.99085154604487,6666,1.7003369578160346,0.7,PrefLID-nocert
preflid,17,False,39996,True,0.0,0.0,148.4865942476495,6666,1.7791185840032995,0.7,PrefLID-nocert
preflid,18,False,39996,True,0.0,0.0,58.15796191169531,6666,1.6861936659552157,0.7,PrefLID-nocert
preflid,19,False,39996,True,0.0,0.0,628.9887954829583,6666,1.6714360830374062,0.7,PrefLID-nocert
