group,n_seeds,reference,final_regret_mean,final_regret_std,best_regret_mean,cumulative_regret_end_mean,cumulative_regret_end_std,committed_regret_mean,committed_regret_std,n_stopped,avg_regret_at_1k,avg_regret_at_10k,avg_regret_at_25k,avg_regret_at_50k,avg_regret_at_100k,avg_regret_at_end,asymptotic_regret_mean
matching_id_bt,20,oracle_train,0.005114686751112663,0.022873574518210926,-0.05907103371831908,2997.163581047974,4378.114368918543,0.005114686751112663,0.022873574518210926,0,0.16159757883136908,0.07414271972617055,0.05054329030657732,0.03777779508519043,0.023917483396938638,0.014985817905239871,0.008862729202255035
matching_id_replay,20,oracle_train,0.04418219838144899,0.07725714273092438,-0.09887961118204505,18407.298964366455,12266.232017652339,0.04418219838144899,0.07725714273092438,0,0.46929320838648936,0.3160113638077836,0.2280007061568063,0.1804586090046025,0.1295297989533171,0.09203649482183227,0.0466574275482826
p2etg_bt,20,oracle_train,0.0,0.0,-0.05508459268318351,3583.9556276177645,3921.4243124175623,0.0,0.0,0,0.18959837614463457,0.08595151856870435,0.05987541848119119,0.045017533212769176,0.031181508758192367,0.017919778138088822,0.0
p2etg_replay,20,oracle_train,0.05720265595591116,0.08925209364946259,-0.07764056400784587,22546.363856741304,13672.566691158903,0.05720265595591116,0.08925209364946259,0,0.4767953552960944,0.28898794837610564,0.2282654152021127,0.1979362600655042,0.15805118980962607,0.11273181928370653,0.044881189032077454
preflid_bt,20,oracle_train,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preflid_replay,20,oracle_train,,,,0.0,0.0,0.05856048391748327,0.0662855157658166,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
