replicate,dataset,model,utility
1,finqa,gemma-2-9b-it,0.6627906976744186
1,medqa,DeepSeek-R1-0528-Qwen3-8B,0.8272251308900523
1,medqa,Fin-R1,0.6164921465968587
1,medqa,Llama-3.1-8B-UltraMedical,0.6858638743455497
1,medqa,Qwen2.5-Coder-7B-Instruct,0.47774869109947643
1,medqa,Qwen3-8B,0.7696335078534031
1,medqa,Llama-3.1-8B-Instruct,0.6701570680628273
1,medqa,NVIDIA-Nemotron-Nano-9B-v2,0.7408376963350786
1,medqa,gemma-2-9b-it,0.6596858638743456
1,meld,DeepSeek-R1-0528-Qwen3-8B,0.5223274695534507
1,meld,Fin-R1,0.5331529093369418
1,meld,Llama-3.1-8B-UltraMedical,0.4438430311231394
1,meld,Qwen2.5-Coder-7B-Instruct,0.530446549391069
1,meld,Qwen3-8B,0.5317997293640054
1,meld,Llama-3.1-8B-Instruct,0.489851150202977
1,meld,NVIDIA-Nemotron-Nano-9B-v2,0.489851150202977
1,meld,gemma-2-9b-it,0.5466847090663058
1,korbench,DeepSeek-R1-0528-Qwen3-8B,0.5546666666666666
1,korbench,Fin-R1,0.316
1,korbench,Llama-3.1-8B-UltraMedical,0.11466666666666667
1,korbench,Qwen2.5-Coder-7B-Instruct,0.324
1,korbench,Qwen3-8B,0.5226666666666666
1,korbench,Llama-3.1-8B-Instruct,0.20266666666666666
1,korbench,NVIDIA-Nemotron-Nano-9B-v2,0.5386666666666666
1,korbench,gemma-2-9b-it,0.34
2,math500,DeepSeek-R1-0528-Qwen3-8B,0.9466666666666667
2,math500,Fin-R1,0.7366666666666667
2,math500,Llama-3.1-8B-UltraMedical,0.42
2,math500,Qwen2.5-Coder-7B-Instruct,0.6333333333333333
2,math500,Qwen3-8B,0.93
2,math500,Llama-3.1-8B-Instruct,0.48
2,math500,NVIDIA-Nemotron-Nano-9B-v2,0.9466666666666667
2,math500,gemma-2-9b-it,0.4766666666666667
2,livecodebench,DeepSeek-R1-0528-Qwen3-8B,0.617693522906793
2,livecodebench,Fin-R1,0.06477093206951026
2,livecodebench,Llama-3.1-8B-UltraMedical,0.14218009478672985
2,livecodebench,Qwen2.5-Coder-7B-Instruct,0.25434439178515006
2,livecodebench,Qwen3-8B,0.6619273301737757
2,livecodebench,Llama-3.1-8B-Instruct,0.16429699842022116
2,livecodebench,NVIDIA-Nemotron-Nano-9B-v2,0.636650868878357
2,livecodebench,gemma-2-9b-it,0.17535545023696683
2,bbh,DeepSeek-R1-0528-Qwen3-8B,0.8919753086419753
2,bbh,Fin-R1,0.5972222222222222
2,bbh,Llama-3.1-8B-UltraMedical,0.38117283950617287
2,bbh,Qwen2.5-Coder-7B-Instruct,0.5709876543209876
2,bbh,Qwen3-8B,0.8364197530864198
2,bbh,Llama-3.1-8B-Instruct,0.6234567901234568
2,bbh,NVIDIA-Nemotron-Nano-9B-v2,0.8626543209876543
2,bbh,gemma-2-9b-it,0.6141975308641975
2,mmlupro,DeepSeek-R1-0528-Qwen3-8B,0.7304492512479202
2,mmlupro,Fin-R1,0.4875207986688852
2,mmlupro,Llama-3.1-8B-UltraMedical,0.3860232945091514
2,mmlupro,Qwen2.5-Coder-7B-Instruct,0.45757071547420963
2,mmlupro,Qwen3-8B,0.670549084858569
2,mmlupro,Llama-3.1-8B-Instruct,0.45757071547420963
2,mmlupro,NVIDIA-Nemotron-Nano-9B-v2,0.6938435940099834
2,mmlupro,gemma-2-9b-it,0.540765391014975
2,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7311046511627907
2,finqa,Fin-R1,0.6991279069767442
2,finqa,Llama-3.1-8B-UltraMedical,0.5494186046511628
2,finqa,Qwen2.5-Coder-7B-Instruct,0.6511627906976745
2,finqa,Qwen3-8B,0.7616279069767442
2,finqa,Llama-3.1-8B-Instruct,0.5305232558139535
2,finqa,NVIDIA-Nemotron-Nano-9B-v2,0.7180232558139535
2,finqa,gemma-2-9b-it,0.6540697674418605
2,medqa,DeepSeek-R1-0528-Qwen3-8B,0.8481675392670157
2,medqa,Fin-R1,0.6387434554973822
2,medqa,Llama-3.1-8B-UltraMedical,0.7408376963350786
2,medqa,Qwen2.5-Coder-7B-Instruct,0.506544502617801
2,medqa,Qwen3-8B,0.8337696335078534
2,medqa,Llama-3.1-8B-Instruct,0.7225130890052356
2,medqa,NVIDIA-Nemotron-Nano-9B-v2,0.768324607329843
2,medqa,gemma-2-9b-it,0.6780104712041884
2,meld,DeepSeek-R1-0528-Qwen3-8B,0.5128552097428958
2,meld,Fin-R1,0.5087956698240866
2,meld,Llama-3.1-8B-UltraMedical,0.43031123139377536
2,meld,Qwen2.5-Coder-7B-Instruct,0.5466847090663058
2,meld,Qwen3-8B,0.5453315290933695
2,meld,Llama-3.1-8B-Instruct,0.4952638700947226
2,meld,NVIDIA-Nemotron-Nano-9B-v2,0.5142083897158322
2,meld,gemma-2-9b-it,0.5385656292286874
2,korbench,DeepSeek-R1-0528-Qwen3-8B,0.564
2,korbench,Fin-R1,0.336
2,korbench,Llama-3.1-8B-UltraMedical,0.10666666666666667
2,korbench,Qwen2.5-Coder-7B-Instruct,0.34933333333333333
2,korbench,Qwen3-8B,0.5386666666666666
2,korbench,Llama-3.1-8B-Instruct,0.20266666666666666
2,korbench,NVIDIA-Nemotron-Nano-9B-v2,0.5613333333333334
2,korbench,gemma-2-9b-it,0.324
3,math500,DeepSeek-R1-0528-Qwen3-8B,0.95
3,math500,Fin-R1,0.7433333333333333
3,math500,Llama-3.1-8B-UltraMedical,0.49
3,math500,Qwen2.5-Coder-7B-Instruct,0.6433333333333333
3,math500,Qwen3-8B,0.93
3,math500,Llama-3.1-8B-Instruct,0.5466666666666666
3,math500,NVIDIA-Nemotron-Nano-9B-v2,0.9433333333333334
3,math500,gemma-2-9b-it,0.5033333333333333
3,livecodebench,DeepSeek-R1-0528-Qwen3-8B,0.660347551342812
3,livecodebench,Fin-R1,0.07424960505529225
3,livecodebench,Llama-3.1-8B-UltraMedical,0.14691943127962084
3,livecodebench,Qwen2.5-Coder-7B-Instruct,0.3001579778830964
3,livecodebench,Qwen3-8B,0.6714060031595577
3,livecodebench,Llama-3.1-8B-Instruct,0.17851500789889416
3,livecodebench,NVIDIA-Nemotron-Nano-9B-v2,0.6635071090047393
3,livecodebench,gemma-2-9b-it,0.18799368088467613
3,bbh,DeepSeek-R1-0528-Qwen3-8B,0.8858024691358025
3,bbh,Fin-R1,0.595679012345679
3,bbh,Llama-3.1-8B-UltraMedical,0.38425925925925924
3,bbh,Qwen2.5-Coder-7B-Instruct,0.5694444444444444
3,bbh,Qwen3-8B,0.8256172839506173
3,bbh,Llama-3.1-8B-Instruct,0.5925925925925926
3,bbh,NVIDIA-Nemotron-Nano-9B-v2,0.8549382716049383
3,bbh,gemma-2-9b-it,0.6126543209876543
3,mmlupro,DeepSeek-R1-0528-Qwen3-8B,0.6988352745424293
3,mmlupro,Fin-R1,0.4858569051580699
3,mmlupro,Llama-3.1-8B-UltraMedical,0.39267886855241263
3,mmlupro,Qwen2.5-Coder-7B-Instruct,0.47420965058236275
3,mmlupro,Qwen3-8B,0.6838602329450915
3,mmlupro,Llama-3.1-8B-Instruct,0.41264559068219636
3,mmlupro,NVIDIA-Nemotron-Nano-9B-v2,0.697171381031614
3,mmlupro,gemma-2-9b-it,0.5341098169717138
3,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7093023255813954
3,finqa,Fin-R1,0.7122093023255814
3,finqa,Llama-3.1-8B-UltraMedical,0.561046511627907
3,finqa,Qwen2.5-Coder-7B-Instruct,0.6453488372093024
3,finqa,Qwen3-8B,0.7354651162790697
3,finqa,Llama-3.1-8B-Instruct,0.5363372093023255
3,finqa,NVIDIA-Nemotron-Nano-9B-v2,0.7136627906976745
3,finqa,gemma-2-9b-it,0.6206395348837209
3,medqa,DeepSeek-R1-0528-Qwen3-8B,0.819371727748691
3,medqa,Fin-R1,0.612565445026178
3,medqa,Llama-3.1-8B-UltraMedical,0.668848167539267
3,medqa,Qwen2.5-Coder-7B-Instruct,0.4698952879581152
3,medqa,Qwen3-8B,0.7761780104712042
3,medqa,Llama-3.1-8B-Instruct,0.6714659685863874
3,medqa,NVIDIA-Nemotron-Nano-9B-v2,0.7356020942408377
3,medqa,gemma-2-9b-it,0.6308900523560209
3,meld,DeepSeek-R1-0528-Qwen3-8B,0.5155615696887687
3,meld,Fin-R1,0.5142083897158322
3,meld,Llama-3.1-8B-UltraMedical,0.44248985115020295
3,meld,Qwen2.5-Coder-7B-Instruct,0.5385656292286874
3,meld,Qwen3-8B,0.5385656292286874
3,meld,Llama-3.1-8B-Instruct,0.48308525033829497
3,meld,NVIDIA-Nemotron-Nano-9B-v2,0.503382949932341
3,meld,gemma-2-9b-it,0.5331529093369418
3,korbench,DeepSeek-R1-0528-Qwen3-8B,0.5466666666666666
3,korbench,Fin-R1,0.30933333333333335
3,korbench,Llama-3.1-8B-UltraMedical,0.10933333333333334
3,korbench,Qwen2.5-Coder-7B-Instruct,0.32266666666666666
3,korbench,Qwen3-8B,0.536
3,korbench,Llama-3.1-8B-Instruct,0.2
3,korbench,NVIDIA-Nemotron-Nano-9B-v2,0.552
3,korbench,gemma-2-9b-it,0.33466666666666667
4,math500,DeepSeek-R1-0528-Qwen3-8B,0.9733333333333334
4,math500,Fin-R1,0.77
4,math500,Llama-3.1-8B-UltraMedical,0.49666666666666665
4,math500,Qwen2.5-Coder-7B-Instruct,0.6666666666666666
4,math500,Qwen3-8B,0.9633333333333334
4,math500,Llama-3.1-8B-Instruct,0.5266666666666666
4,math500,NVIDIA-Nemotron-Nano-9B-v2,0.9666666666666667
4,math500,gemma-2-9b-it,0.5233333333333333
4,livecodebench,DeepSeek-R1-0528-Qwen3-8B,0.6287519747235387
4,livecodebench,Fin-R1,0.08056872037914692
4,livecodebench,Llama-3.1-8B-UltraMedical,0.14691943127962084
4,livecodebench,Qwen2.5-Coder-7B-Instruct,0.2859399684044234
4,livecodebench,Qwen3-8B,0.669826224328594
4,livecodebench,Llama-3.1-8B-Instruct,0.18799368088467613
4,livecodebench,NVIDIA-Nemotron-Nano-9B-v2,0.6587677725118484
4,livecodebench,gemma-2-9b-it,0.18641390205371247
4,bbh,DeepSeek-R1-0528-Qwen3-8B,0.9012345679012346
4,bbh,Fin-R1,0.5941358024691358
4,bbh,Llama-3.1-8B-UltraMedical,0.38580246913580246
4,bbh,Qwen2.5-Coder-7B-Instruct,0.5324074074074074
4,bbh,Qwen3-8B,0.8441358024691358
4,bbh,Llama-3.1-8B-Instruct,0.6157407407407407
4,bbh,NVIDIA-Nemotron-Nano-9B-v2,0.8503086419753086
4,bbh,gemma-2-9b-it,0.5833333333333334
4,mmlupro,DeepSeek-R1-0528-Qwen3-8B,0.7121464226289518
4,mmlupro,Fin-R1,0.5108153078202995
4,mmlupro,Llama-3.1-8B-UltraMedical,0.37104825291181365
4,mmlupro,Qwen2.5-Coder-7B-Instruct,0.44093178036605657
4,mmlupro,Qwen3-8B,0.6605657237936772
4,mmlupro,Llama-3.1-8B-Instruct,0.46422628951747086
4,mmlupro,NVIDIA-Nemotron-Nano-9B-v2,0.6905158069883528
4,mmlupro,gemma-2-9b-it,0.540765391014975
4,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7020348837209303
4,finqa,Fin-R1,0.6787790697674418
4,finqa,Llama-3.1-8B-UltraMedical,0.5247093023255814
4,finqa,Qwen2.5-Coder-7B-Instruct,0.626453488372093
4,finqa,Qwen3-8B,0.7340116279069767
4,finqa,Llama-3.1-8B-Instruct,0.5072674418604651
4,finqa,NVIDIA-Nemotron-Nano-9B-v2,0.7165697674418605
4,finqa,gemma-2-9b-it,0.6322674418604651
