metric,mean,std,median,q25,q75
T_stop,200004.0,0.0,200004.0,200004.0,200004.0
exact_oracle_match,0.45,0.5104177855340405,0.0,0.0,1.0
stable_train,0.45,0.5104177855340405,0.0,0.0,1.0
blocking_pairs_train,1.15,1.3484884325167863,1.0,0.0,2.0
resolved_fraction_at_stop,0.37031250000000004,0.017105602042623385,0.36830357142857145,0.36328125,0.3794642857142857
test_mean_score,0.6655090629280837,0.008285689470727076,0.6689901991841082,0.6581625068749308,0.6728291234177692
test_welfare,5.324072503424669,0.06628551576581661,5.3519215934728654,5.265300054999447,5.382632987342154
normalized_test_welfare,0.9263416555659679,0.08337501715569504,0.9613707012588757,0.8524166986712032,1.0
