algorithm,seed,stopped,T_stop,final_exact,final_regret,best_regret,final_cum_regret,n_checks,elapsed_seconds
p2etg,0,False,200000,True,8.881784197001252e-16,0.0,994.13999412064,447,25.73971154121682
p2etg,1,False,200000,True,8.881784197001252e-16,0.0,419.18633500634235,447,25.51439437502995
p2etg,2,False,200000,True,8.881784197001252e-16,0.0,1.4003376236360054e-10,447,25.557528667151928
p2etg,3,False,200000,True,8.881784197001252e-16,0.0,439.8396129604114,447,25.750048208981752
p2etg,4,False,200000,True,8.881784197001252e-16,0.0,467.7954065765495,447,25.569938040804118
p2etg,5,False,200000,True,8.881784197001252e-16,0.0,644.5302181015204,447,25.567173750139773
p2etg,6,False,200000,True,8.881784197001252e-16,0.0,326.9100822527301,447,25.632570458110422
p2etg,7,False,200000,True,8.881784197001252e-16,0.0,1785.764075737275,447,25.44489850010723
p2etg,8,False,200000,True,8.881784197001252e-16,0.0,269.8661027742345,447,25.498846375383437
p2etg,9,False,200000,True,8.881784197001252e-16,0.0,182.25903775233027,447,25.488567625172436
preflid,0,True,174888,True,8.881784197001252e-16,0.0,1709.443746563492,6247,11.654272333718836
preflid,1,True,167244,True,8.881784197001252e-16,0.0,1955.3207267747734,5974,8.079961000010371
preflid,2,True,144200,True,8.881784197001252e-16,8.881784197001252e-16,3724.1090855799125,5151,6.9799905410036445
preflid,3,True,122444,True,8.881784197001252e-16,0.0,3294.5218972861203,4374,5.977765625342727
preflid,4,True,134204,True,8.881784197001252e-16,8.881784197001252e-16,1362.4118534411132,4794,6.4892992079257965
preflid,5,True,135856,True,8.881784197001252e-16,0.0,2022.3847597912754,4853,7.469024000223726
preflid,6,False,200004,True,8.881784197001252e-16,0.0,2061.426434014754,7143,12.343014124780893
preflid,7,True,182448,True,8.881784197001252e-16,0.0,2755.514230918481,6517,10.354591082781553
preflid,8,True,189504,True,8.881784197001252e-16,0.0,1496.238149763196,6769,12.36533695878461
preflid,9,True,130564,True,8.881784197001252e-16,8.881784197001252e-16,3061.893400854241,4664,6.429707416798919
