replicate,dataset,model,utility
1,medqa,GLM-Z1-9B-0414,0.7185863874345549
1,medqa,Intern-S1-mini,0.6740837696335078
1,medqa,Qwen2.5-Coder-7B-Instruct,0.47774869109947643
1,medqa,Qwen3-8B,0.7696335078534031
1,medqa,gemma-2-9b-it,0.6596858638743456
1,medqa,glm-4-9b-chat,0.6282722513089005
1,meld,DeepSeek-R1-0528-Qwen3-8B,0.5223274695534507
1,meld,Fin-R1,0.5331529093369418
1,meld,GLM-Z1-9B-0414,0.4790257104194858
1,meld,Intern-S1-mini,0.5155615696887687
1,meld,Qwen2.5-Coder-7B-Instruct,0.530446549391069
1,meld,Qwen3-8B,0.5317997293640054
1,meld,gemma-2-9b-it,0.5466847090663058
1,meld,glm-4-9b-chat,0.5818673883626523
2,emorynlp,DeepSeek-R1-0528-Qwen3-8B,0.3660287081339713
2,emorynlp,Fin-R1,0.3923444976076555
2,emorynlp,GLM-Z1-9B-0414,0.3038277511961722
2,emorynlp,Intern-S1-mini,0.34688995215311
2,emorynlp,Qwen2.5-Coder-7B-Instruct,0.3373205741626794
2,emorynlp,Qwen3-8B,0.34688995215311
2,emorynlp,gemma-2-9b-it,0.3373205741626794
2,emorynlp,glm-4-9b-chat,0.35167464114832536
2,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7311046511627907
2,finqa,Fin-R1,0.6991279069767442
2,finqa,GLM-Z1-9B-0414,0.7005813953488372
2,finqa,Intern-S1-mini,0.7325581395348837
2,finqa,Qwen2.5-Coder-7B-Instruct,0.6511627906976745
2,finqa,Qwen3-8B,0.7616279069767442
2,finqa,gemma-2-9b-it,0.6540697674418605
2,finqa,glm-4-9b-chat,0.5857558139534884
2,humaneval,DeepSeek-R1-0528-Qwen3-8B,0.24489795918367346
2,humaneval,Fin-R1,0.7244897959183674
2,humaneval,GLM-Z1-9B-0414,0.6122448979591837
2,humaneval,Intern-S1-mini,0.45918367346938777
2,humaneval,Qwen2.5-Coder-7B-Instruct,0.7857142857142857
2,humaneval,Qwen3-8B,0.6632653061224489
2,humaneval,gemma-2-9b-it,0.5714285714285714
2,humaneval,glm-4-9b-chat,0.7448979591836735
2,korbench,DeepSeek-R1-0528-Qwen3-8B,0.564
2,korbench,Fin-R1,0.336
2,korbench,GLM-Z1-9B-0414,0.5306666666666666
2,korbench,Intern-S1-mini,0.5933333333333334
2,korbench,Qwen2.5-Coder-7B-Instruct,0.34933333333333333
2,korbench,Qwen3-8B,0.5386666666666666
2,korbench,gemma-2-9b-it,0.324
2,korbench,glm-4-9b-chat,0.37066666666666664
2,math500,DeepSeek-R1-0528-Qwen3-8B,0.9466666666666667
2,math500,Fin-R1,0.7366666666666667
2,math500,GLM-Z1-9B-0414,0.9566666666666667
2,math500,Intern-S1-mini,0.9266666666666666
2,math500,Qwen2.5-Coder-7B-Instruct,0.6333333333333333
2,math500,Qwen3-8B,0.93
2,math500,gemma-2-9b-it,0.4766666666666667
2,math500,glm-4-9b-chat,0.5066666666666667
2,mbpp,DeepSeek-R1-0528-Qwen3-8B,0.339041095890411
2,mbpp,Fin-R1,0.6712328767123288
2,mbpp,GLM-Z1-9B-0414,0.6318493150684932
2,mbpp,Intern-S1-mini,0.386986301369863
2,mbpp,Qwen2.5-Coder-7B-Instruct,0.7397260273972602
2,mbpp,Qwen3-8B,0.5325342465753424
2,mbpp,gemma-2-9b-it,0.5924657534246576
2,mbpp,glm-4-9b-chat,0.589041095890411
2,medqa,DeepSeek-R1-0528-Qwen3-8B,0.8481675392670157
2,medqa,Fin-R1,0.6387434554973822
2,medqa,GLM-Z1-9B-0414,0.7264397905759162
2,medqa,Intern-S1-mini,0.7408376963350786
2,medqa,Qwen2.5-Coder-7B-Instruct,0.506544502617801
2,medqa,Qwen3-8B,0.8337696335078534
2,medqa,gemma-2-9b-it,0.6780104712041884
2,medqa,glm-4-9b-chat,0.6649214659685864
2,meld,DeepSeek-R1-0528-Qwen3-8B,0.5128552097428958
2,meld,Fin-R1,0.5087956698240866
2,meld,GLM-Z1-9B-0414,0.4979702300405954
2,meld,Intern-S1-mini,0.5223274695534507
2,meld,Qwen2.5-Coder-7B-Instruct,0.5466847090663058
2,meld,Qwen3-8B,0.5453315290933695
2,meld,gemma-2-9b-it,0.5385656292286874
2,meld,glm-4-9b-chat,0.5683355886332883
3,emorynlp,DeepSeek-R1-0528-Qwen3-8B,0.34688995215311
3,emorynlp,Fin-R1,0.2966507177033493
3,emorynlp,GLM-Z1-9B-0414,0.3133971291866029
3,emorynlp,Intern-S1-mini,0.3373205741626794
3,emorynlp,Qwen2.5-Coder-7B-Instruct,0.3157894736842105
3,emorynlp,Qwen3-8B,0.3373205741626794
3,emorynlp,gemma-2-9b-it,0.35406698564593303
3,emorynlp,glm-4-9b-chat,0.35167464114832536
3,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7093023255813954
3,finqa,Fin-R1,0.7122093023255814
3,finqa,GLM-Z1-9B-0414,0.6758720930232558
3,finqa,Intern-S1-mini,0.6991279069767442
3,finqa,Qwen2.5-Coder-7B-Instruct,0.6453488372093024
3,finqa,Qwen3-8B,0.7354651162790697
3,finqa,gemma-2-9b-it,0.6206395348837209
3,finqa,glm-4-9b-chat,0.5828488372093024
3,humaneval,DeepSeek-R1-0528-Qwen3-8B,0.2755102040816326
3,humaneval,Fin-R1,0.7346938775510204
3,humaneval,GLM-Z1-9B-0414,0.6326530612244898
3,humaneval,Intern-S1-mini,0.40816326530612246
3,humaneval,Qwen2.5-Coder-7B-Instruct,0.8367346938775511
3,humaneval,Qwen3-8B,0.6632653061224489
3,humaneval,gemma-2-9b-it,0.6938775510204082
3,humaneval,glm-4-9b-chat,0.7653061224489796
3,korbench,DeepSeek-R1-0528-Qwen3-8B,0.5466666666666666
3,korbench,Fin-R1,0.30933333333333335
3,korbench,GLM-Z1-9B-0414,0.532
3,korbench,Intern-S1-mini,0.5826666666666667
3,korbench,Qwen2.5-Coder-7B-Instruct,0.32266666666666666
3,korbench,Qwen3-8B,0.536
3,korbench,gemma-2-9b-it,0.33466666666666667
3,korbench,glm-4-9b-chat,0.344
