replicate,model,dataset,utility
1,gemma-2-9b-it,finqa,0.6627906976744186
1,gemma-2-9b-it,humaneval,0.6224489795918368
1,gemma-2-9b-it,korbench,0.34
1,gemma-2-9b-it,math500,0.49333333333333335
1,gemma-2-9b-it,mbpp,0.6044520547945206
1,gemma-2-9b-it,medqa,0.6596858638743456
1,gemma-2-9b-it,meld,0.5466847090663058
1,glm-4-9b-chat,emorynlp,0.3373205741626794
1,glm-4-9b-chat,finqa,0.5872093023255814
1,glm-4-9b-chat,humaneval,0.7142857142857143
1,glm-4-9b-chat,korbench,0.35333333333333333
1,glm-4-9b-chat,math500,0.52
1,glm-4-9b-chat,mbpp,0.6335616438356164
1,glm-4-9b-chat,medqa,0.6282722513089005
1,glm-4-9b-chat,meld,0.5818673883626523
2,DeepSeek-R1-0528-Qwen3-8B,emorynlp,0.3660287081339713
2,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7311046511627907
2,DeepSeek-R1-0528-Qwen3-8B,humaneval,0.24489795918367346
2,DeepSeek-R1-0528-Qwen3-8B,korbench,0.564
2,DeepSeek-R1-0528-Qwen3-8B,math500,0.9466666666666667
2,DeepSeek-R1-0528-Qwen3-8B,mbpp,0.339041095890411
2,DeepSeek-R1-0528-Qwen3-8B,medqa,0.8481675392670157
2,DeepSeek-R1-0528-Qwen3-8B,meld,0.5128552097428958
2,Fin-R1,emorynlp,0.3923444976076555
2,Fin-R1,finqa,0.6991279069767442
2,Fin-R1,humaneval,0.7244897959183674
2,Fin-R1,korbench,0.336
2,Fin-R1,math500,0.7366666666666667
2,Fin-R1,mbpp,0.6712328767123288
2,Fin-R1,medqa,0.6387434554973822
2,Fin-R1,meld,0.5087956698240866
2,GLM-Z1-9B-0414,emorynlp,0.3038277511961722
2,GLM-Z1-9B-0414,finqa,0.7005813953488372
2,GLM-Z1-9B-0414,humaneval,0.6122448979591837
2,GLM-Z1-9B-0414,korbench,0.5306666666666666
2,GLM-Z1-9B-0414,math500,0.9566666666666667
2,GLM-Z1-9B-0414,mbpp,0.6318493150684932
2,GLM-Z1-9B-0414,medqa,0.7264397905759162
2,GLM-Z1-9B-0414,meld,0.4979702300405954
2,Intern-S1-mini,emorynlp,0.34688995215311
2,Intern-S1-mini,finqa,0.7325581395348837
2,Intern-S1-mini,humaneval,0.45918367346938777
2,Intern-S1-mini,korbench,0.5933333333333334
2,Intern-S1-mini,math500,0.9266666666666666
2,Intern-S1-mini,mbpp,0.386986301369863
2,Intern-S1-mini,medqa,0.7408376963350786
2,Intern-S1-mini,meld,0.5223274695534507
2,Qwen2.5-Coder-7B-Instruct,emorynlp,0.3373205741626794
2,Qwen2.5-Coder-7B-Instruct,finqa,0.6511627906976745
2,Qwen2.5-Coder-7B-Instruct,humaneval,0.7857142857142857
2,Qwen2.5-Coder-7B-Instruct,korbench,0.34933333333333333
2,Qwen2.5-Coder-7B-Instruct,math500,0.6333333333333333
2,Qwen2.5-Coder-7B-Instruct,mbpp,0.7397260273972602
2,Qwen2.5-Coder-7B-Instruct,medqa,0.506544502617801
2,Qwen2.5-Coder-7B-Instruct,meld,0.5466847090663058
2,Qwen3-8B,emorynlp,0.34688995215311
2,Qwen3-8B,finqa,0.7616279069767442
2,Qwen3-8B,humaneval,0.6632653061224489
2,Qwen3-8B,korbench,0.5386666666666666
2,Qwen3-8B,math500,0.93
2,Qwen3-8B,mbpp,0.5325342465753424
2,Qwen3-8B,medqa,0.8337696335078534
2,Qwen3-8B,meld,0.5453315290933695
2,gemma-2-9b-it,emorynlp,0.3373205741626794
2,gemma-2-9b-it,finqa,0.6540697674418605
2,gemma-2-9b-it,humaneval,0.5714285714285714
2,gemma-2-9b-it,korbench,0.324
2,gemma-2-9b-it,math500,0.4766666666666667
2,gemma-2-9b-it,mbpp,0.5924657534246576
2,gemma-2-9b-it,medqa,0.6780104712041884
