replicate,task,model
13,meld,glm-4-9b-chat
13,medqa,DeepSeek-R1-0528-Qwen3-8B
13,humaneval,Qwen2.5-Coder-7B-Instruct
13,math500,GLM-Z1-9B-0414
13,korbench,Intern-S1-mini
13,emorynlp,gemma-2-9b-it
13,mbpp,Fin-R1
13,finqa,Qwen3-8B
14,medqa,Qwen3-8B
14,meld,glm-4-9b-chat
14,humaneval,Qwen2.5-Coder-7B-Instruct
14,finqa,Intern-S1-mini
14,math500,DeepSeek-R1-0528-Qwen3-8B
14,korbench,GLM-Z1-9B-0414
14,emorynlp,gemma-2-9b-it
14,mbpp,Fin-R1
15,meld,glm-4-9b-chat
15,medqa,DeepSeek-R1-0528-Qwen3-8B
15,humaneval,Qwen2.5-Coder-7B-Instruct
15,math500,GLM-Z1-9B-0414
15,korbench,Intern-S1-mini
15,emorynlp,gemma-2-9b-it
15,mbpp,Fin-R1
15,finqa,Qwen3-8B
16,meld,glm-4-9b-chat
16,medqa,DeepSeek-R1-0528-Qwen3-8B
16,humaneval,Qwen2.5-Coder-7B-Instruct
16,math500,GLM-Z1-9B-0414
16,korbench,Intern-S1-mini
16,emorynlp,gemma-2-9b-it
16,mbpp,Fin-R1
16,finqa,Qwen3-8B
17,meld,glm-4-9b-chat
17,medqa,DeepSeek-R1-0528-Qwen3-8B
17,humaneval,Qwen2.5-Coder-7B-Instruct
17,math500,GLM-Z1-9B-0414
17,korbench,Intern-S1-mini
17,emorynlp,gemma-2-9b-it
17,mbpp,Fin-R1
17,finqa,Qwen3-8B
18,meld,glm-4-9b-chat
18,medqa,DeepSeek-R1-0528-Qwen3-8B
18,humaneval,Qwen2.5-Coder-7B-Instruct
18,math500,GLM-Z1-9B-0414
18,korbench,Intern-S1-mini
18,emorynlp,gemma-2-9b-it
18,mbpp,Fin-R1
18,finqa,Qwen3-8B
19,meld,glm-4-9b-chat
19,medqa,DeepSeek-R1-0528-Qwen3-8B
19,humaneval,Qwen2.5-Coder-7B-Instruct
19,math500,GLM-Z1-9B-0414
19,korbench,Intern-S1-mini
19,emorynlp,gemma-2-9b-it
19,mbpp,Fin-R1
19,finqa,Qwen3-8B
20,meld,glm-4-9b-chat
20,medqa,DeepSeek-R1-0528-Qwen3-8B
20,humaneval,Qwen2.5-Coder-7B-Instruct
20,math500,GLM-Z1-9B-0414
20,korbench,Intern-S1-mini
20,emorynlp,gemma-2-9b-it
20,mbpp,Fin-R1
20,finqa,Qwen3-8B
21,meld,glm-4-9b-chat
21,medqa,DeepSeek-R1-0528-Qwen3-8B
21,humaneval,Qwen2.5-Coder-7B-Instruct
21,math500,GLM-Z1-9B-0414
21,korbench,Intern-S1-mini
21,emorynlp,gemma-2-9b-it
21,mbpp,Fin-R1
21,finqa,Qwen3-8B
22,meld,glm-4-9b-chat
22,medqa,DeepSeek-R1-0528-Qwen3-8B
22,humaneval,Qwen2.5-Coder-7B-Instruct
22,math500,GLM-Z1-9B-0414
22,korbench,Intern-S1-mini
22,emorynlp,gemma-2-9b-it
22,mbpp,Fin-R1
22,finqa,Qwen3-8B
23,meld,glm-4-9b-chat
23,medqa,DeepSeek-R1-0528-Qwen3-8B
23,humaneval,Qwen2.5-Coder-7B-Instruct
23,math500,GLM-Z1-9B-0414
23,korbench,Intern-S1-mini
23,emorynlp,gemma-2-9b-it
23,mbpp,Fin-R1
23,finqa,Qwen3-8B
24,meld,glm-4-9b-chat
24,medqa,DeepSeek-R1-0528-Qwen3-8B
24,humaneval,Qwen2.5-Coder-7B-Instruct
24,math500,GLM-Z1-9B-0414
24,korbench,Intern-S1-mini
24,emorynlp,gemma-2-9b-it
24,mbpp,Fin-R1
24,finqa,Qwen3-8B
25,meld,glm-4-9b-chat
25,medqa,DeepSeek-R1-0528-Qwen3-8B
25,humaneval,Qwen2.5-Coder-7B-Instruct
25,math500,GLM-Z1-9B-0414
25,korbench,Intern-S1-mini
25,emorynlp,gemma-2-9b-it
25,mbpp,Fin-R1
25,finqa,Qwen3-8B
26,medqa,Qwen3-8B
26,meld,glm-4-9b-chat
26,humaneval,Qwen2.5-Coder-7B-Instruct
26,finqa,Intern-S1-mini
26,math500,DeepSeek-R1-0528-Qwen3-8B
