metric,mean,std,median,q25,q75
T_stop,10000.0,0.0,10000.0,10000.0,10000.0
exact_oracle_match,0.75,0.4442616583193193,1.0,0.75,1.0
stable_train,0.75,0.4442616583193193,1.0,0.75,1.0
blocking_pairs_train,0.25,0.4442616583193193,0.0,0.0,0.25
resolved_fraction_at_stop,0.4843749999999999,0.05690409175002036,0.4791666666666667,0.4375,0.5416666666666666
test_mean_score,0.6752846775920732,0.012120616982407547,0.6821053297659861,0.6752846775920731,0.6821053297659861
test_welfare,2.701138710368293,0.04848246792963019,2.7284213190639446,2.7011387103682925,2.7284213190639446
normalized_test_welfare,0.9503357615468403,0.08825566773746743,1.0,0.9503357615468402,1.0
