algorithm,seed,stopped,T_stop,final_exact,final_regret,best_regret,final_cum_regret,n_checks,elapsed_seconds
p2etg,0,False,200000,False,0.0,0.0,381.8203602977627,447,24.92421808373183
p2etg,1,False,200000,False,0.0,0.0,1266.447062032491,447,25.056244125124067
p2etg,2,False,200000,True,0.0,0.0,605.7079463085304,447,24.81614154111594
p2etg,3,False,200000,True,0.0,0.0,339.6447324979631,447,25.09152274997905
p2etg,4,False,200000,False,0.021146411979784396,0.0,3018.169359501801,447,24.898659416940063
p2etg,5,False,200000,True,0.0,0.0,3071.2334293771155,447,25.432341000065207
p2etg,6,False,200000,False,0.0,0.0,616.2796686913142,447,25.1250046659261
p2etg,7,False,200000,False,0.0,0.0,2616.314637160317,447,25.29493633331731
p2etg,8,False,200000,False,0.0,0.0,4854.505063957394,447,25.441884542349726
p2etg,9,False,200000,True,0.0,0.0,1185.0680803117773,447,25.23238137504086
preflid,0,False,5600,False,0.0,0.0,82.89206225813655,200,0.41447129053995013
preflid,1,False,5600,True,0.0,0.0,137.44082837335952,200,0.4300501658581197
preflid,2,False,5600,False,0.0,0.0,196.66983241839745,200,0.39728591591119766
preflid,3,False,5600,False,0.0,0.0,44.416700744832966,200,0.4783627921715379
preflid,4,False,5600,False,0.14569991976288144,0.0,342.8993546012374,200,0.3828120422549546
preflid,5,False,5600,False,0.0,0.0,126.55439748474097,200,0.4502426669932902
preflid,6,False,5600,False,0.003311439891566792,0.0,100.02037490706249,200,0.43007941730320454
preflid,7,False,5600,False,0.0,0.0,282.7848733123322,200,0.3785886657424271
preflid,8,False,5600,False,0.009980398278651492,0.0,80.59964423568033,200,0.387574375141412
preflid,9,False,5600,True,0.0,0.0,25.272186459510152,200,0.3530345829203725
