algorithm,seed,stopped,T_stop,final_exact,final_regret,best_regret,final_cum_regret,n_checks,elapsed_seconds
p2etg,0,False,200000,True,8.881784197001252e-16,0.0,994.13999412064,447,26.274051791988313
p2etg,1,False,200000,True,8.881784197001252e-16,0.0,419.18633500634235,447,25.743139625061303
p2etg,2,False,200000,True,8.881784197001252e-16,0.0,1.4003376236360054e-10,447,25.994580583181232
p2etg,3,False,200000,True,8.881784197001252e-16,0.0,439.8396129604114,447,25.821200041100383
p2etg,4,False,200000,True,8.881784197001252e-16,0.0,467.7954065765495,447,25.847558374982327
p2etg,5,False,200000,True,8.881784197001252e-16,0.0,644.5302181015204,447,25.807549667079
p2etg,6,False,200000,True,8.881784197001252e-16,0.0,326.9100822527301,447,26.103811209090054
p2etg,7,False,200000,True,8.881784197001252e-16,0.0,1785.764075737275,447,25.63258158415556
p2etg,8,False,200000,True,8.881784197001252e-16,0.0,269.8661027742345,447,25.756874250248075
p2etg,9,False,200000,True,8.881784197001252e-16,0.0,182.25903775233027,447,25.631709792185575
preflid,0,True,155876,True,8.881784197001252e-16,0.0,302.5385267609614,5568,8.975932624656707
preflid,1,True,116284,True,8.881784197001252e-16,0.0,175.7188843550879,4154,5.770050541963428
preflid,2,True,148260,True,8.881784197001252e-16,0.0,834.9293946714234,5296,7.150744708254933
preflid,3,True,129948,True,8.881784197001252e-16,8.881784197001252e-16,1113.5059019021476,4642,6.308036082889885
preflid,4,True,123452,True,8.881784197001252e-16,8.881784197001252e-16,663.0567468198866,4410,6.123334165662527
preflid,5,True,148204,True,8.881784197001252e-16,0.0,1458.082927837406,5294,7.139481625054032
preflid,6,True,175308,True,8.881784197001252e-16,0.0,1254.383342296943,6262,10.817986541893333
preflid,7,True,125776,True,8.881784197001252e-16,0.0,983.9149657715668,4493,6.246445166878402
preflid,8,True,128436,True,8.881784197001252e-16,0.0,851.1571625909197,4588,6.343000750057399
preflid,9,False,200004,True,8.881784197001252e-16,0.0,1033.926598450584,7143,14.682239291723818
