model,math500,livecodebench,bbh,mmlupro,finqa,medqa,meld,korbench
DeepSeek-R1-0528-Qwen3-8B,0.9466666666666667,0.6287519747235387,0.8811728395061729,0.7071547420965059,0.7107558139534884,0.8102094240837696,0.5196211096075778,0.5546666666666666
Fin-R1,0.7633333333333333,0.07109004739336493,0.5941358024691358,0.4891846921797005,0.6918604651162791,0.6112565445026178,0.5128552097428958,0.32266666666666666
Llama-3.1-8B-UltraMedical,0.46,0.1484992101105845,0.3765432098765432,0.3843594009983361,0.5377906976744186,0.6845549738219895,0.43437077131258456,0.11866666666666667
Qwen2.5-Coder-7B-Instruct,0.6733333333333333,0.2796208530805687,0.5632716049382716,0.454242928452579,0.6424418604651163,0.47643979057591623,0.5331529093369418,0.33466666666666667
Qwen3-8B,0.94,0.6666666666666666,0.8317901234567902,0.6722129783693843,0.7354651162790697,0.7801047120418848,0.5399188092016238,0.532
Llama-3.1-8B-Instruct,0.5166666666666667,0.18009478672985782,0.5972222222222222,0.4559068219633943,0.5247093023255814,0.6845549738219895,0.4803788903924222,0.216
NVIDIA-Nemotron-Nano-9B-v2,0.9466666666666667,0.6477093206951027,0.8626543209876543,0.6905158069883528,0.7122093023255814,0.7225130890052356,0.4952638700947226,0.556
gemma-2-9b-it,0.5,0.1769352290679305,0.6049382716049383,0.5341098169717138,0.6409883720930233,0.6348167539267016,0.5358592692828146,0.3333333333333333
