model,math500,livecodebench,finqa,medqa
DeepSeek-R1-0528-Qwen3-8B,0.3144444444444445,0.4623486045286994,0.08672480620155054,0.21945898778359496
Fin-R1,0.06999999999999995,-0.28120063191153233,0.06153100775193798,-0.0458115183246075
Llama-3.1-8B-UltraMedical,-0.3344444444444444,-0.17798841495523957,-0.14389534883720934,0.0519197207678882
Qwen2.5-Coder-7B-Instruct,-0.04999999999999993,-0.0031595576619272703,-0.0043604651162789665,-0.2255671902268761
