model,emorynlp,finqa,humaneval,korbench,math500,mbpp,medqa,meld
DeepSeek-R1-0528-Qwen3-8B,0.011961722488038284,0.04401993355481726,-0.4387755102040817,0.1266666666666667,0.19047619047619035,-0.2651663405088064,0.16604338070306657,-0.003092982795283139
Fin-R1,-0.0017088174982911597,0.022425249169435224,0.1443148688046647,-0.13847619047619047,-0.01904761904761909,0.12426614481408993,-0.0613313388182497,-0.010825439783491153
GLM-Z1-9B-0414,-0.023581681476418315,0.0174418604651162,-0.007288629737609353,0.109904761904762,0.20190476190476192,0.0538160469667317,0.04637247569184744,-0.05722018171273913
Intern-S1-mini,-0.01811346548188647,0.0357142857142857,-0.18221574344023322,0.15104761904761904,0.16761904761904756,-0.15753424657534254,0.032909498878085364,-0.013918422578774292
Qwen2.5-Coder-7B-Instruct,-0.015379357484620548,-0.03405315614617932,0.26093294460641403,-0.12476190476190474,-0.12190476190476185,0.20254403131115462,-0.2154076290201945,0.01237193118113289
Qwen3-8B,0.020164046479835995,0.07225913621262448,0.05102040816326525,0.10076190476190483,0.18285714285714272,-0.03228962818003922,0.131637995512341,0.020104388169340903
gemma-2-9b-it,0.014695830485304207,-0.0357142857142857,0.004373177842565634,-0.12628571428571422,-0.32000000000000006,0.03424657534246567,-0.03440538519072556,0.015464913976416028
glm-4-9b-chat,0.011961722488038284,-0.12209302325581395,0.16763848396501446,-0.09885714285714281,-0.281904761904762,0.040117416829745456,-0.06581899775617062,0.037115793543398445
