metric,mean,std,median,q25,q75
T_stop,200004.0,0.0,200004.0,200004.0,200004.0
exact_oracle_match,1.0,0.0,1.0,1.0,1.0
stable_train,1.0,0.0,1.0,1.0,1.0
blocking_pairs_train,0.0,0.0,0.0,0.0,0.0
resolved_fraction_at_stop,0.8283482142857143,0.010315759461132066,0.8303571428571428,0.8208705357142857,0.8376116071428571
test_mean_score,0.6728291234177691,1.1390647892519134e-16,0.6728291234177692,0.6728291234177692,0.6728291234177692
test_welfare,5.382632987342153,9.112518314015307e-16,5.382632987342154,5.382632987342154,5.382632987342154
normalized_test_welfare,1.0,0.0,1.0,1.0,1.0
