model,math500,livecodebench,bbh,mmlupro,finqa,medqa,meld,korbench
DeepSeek-R1-0528-Qwen3-8B,0.26095238095238094,0.31866395847438506,0.24823633156966496,0.18136439267886872,0.06997508305647848,0.15388930441286464,0.01507829112700565,0.20990476190476193
Fin-R1,0.05142857142857149,-0.31866395847438495,-0.07980599647266307,-0.06774423579748035,0.048380398671096336,-0.07348541510845163,0.007345834138797636,-0.05523809523809525
Llama-3.1-8B-UltraMedical,-0.29523809523809513,-0.23019634394041974,-0.3284832451499117,-0.1875445685761825,-0.1276993355481727,0.010284218399401746,-0.08235066692441523,-0.2883809523809524
Qwen2.5-Coder-7B-Instruct,-0.05142857142857127,-0.08034303768900924,-0.11507936507936511,-0.10767768005704775,-0.008098006644518319,-0.22756170531039632,0.030543205103421678,-0.04152380952380952
Qwen3-8B,0.2533333333333333,0.3619950349808169,0.19179894179894197,0.14143094841930115,0.0982142857142857,0.11948391922213919,0.03827566209162969,0.18400000000000005
Llama-3.1-8B-Instruct,-0.2304761904761904,-0.19408711351839317,-0.07627865961199287,-0.10577608747325878,-0.14264950166112955,0.010284218399401746,-0.02976995940460081,-0.17714285714285713
NVIDIA-Nemotron-Nano-9B-v2,0.26095238095238094,0.340329496727601,0.2270723104056438,0.16234846684097948,0.07163621262458475,0.053664921465968685,-0.012758554030543157,0.21142857142857147
gemma-2-9b-it,-0.24952380952380948,-0.19769803656059573,-0.06746031746031733,-0.0164012360351794,-0.009759136212624586,-0.04655946148092738,0.03363618789870482,-0.04304761904761906
