algorithm,seed,t,welfare,regret,cum_regret
p2etg,0,100,3.163204643510447,0.13886401515862667,13.886401515862667
p2etg,0,200,3.2307889177670748,0.07127974090199896,24.39358931889395
p2etg,0,300,3.2307889177670748,0.07127974090199896,31.521563409093847
p2etg,0,400,3.2307889177670748,0.07127974090199896,38.64953749929374
p2etg,0,500,3.2307889177670748,0.07127974090199896,45.77751158949364
p2etg,0,600,3.302068658669074,0.0,49.34149863459359
p2etg,0,700,3.302068658669074,0.0,49.34149863459359
p2etg,0,800,3.1206447831071107,0.18142387556196304,58.41269241269174
p2etg,0,900,3.1206447831071107,0.18142387556196304,76.55507996888804
p2etg,0,1000,3.1206447831071107,0.18142387556196304,94.69746752508433
p2etg,0,1100,3.236806437188402,0.06526222148067173,107.03177237721607
p2etg,0,1200,3.236806437188402,0.06526222148067173,113.55799452528325
p2etg,0,1300,3.236806437188402,0.06526222148067173,120.08421667335043
p2etg,0,1400,3.236806437188402,0.06526222148067173,126.6104388214176
p2etg,0,1500,3.236806437188402,0.06526222148067173,133.13666096948478
p2etg,0,1600,3.236806437188402,0.06526222148067173,139.66288311755196
p2etg,0,1700,3.1206447831071107,0.18142387556196304,151.9971879696837
p2etg,0,1800,3.1206447831071107,0.18142387556196304,170.13957552588
p2etg,0,1900,3.1206447831071107,0.18142387556196304,188.2819630820763
p2etg,0,2000,3.1206447831071107,0.18142387556196304,206.42435063827259
p2etg,0,2100,3.1206447831071107,0.18142387556196304,224.56673819446888
p2etg,0,2200,3.1206447831071107,0.18142387556196304,242.70912575066518
p2etg,0,2300,3.1206447831071107,0.18142387556196304,260.8515133068615
p2etg,0,2400,3.1206447831071107,0.18142387556196304,278.9939008630578
p2etg,0,2500,3.1206447831071107,0.18142387556196304,297.1362884192541
p2etg,0,2600,3.1206447831071107,0.18142387556196304,315.27867597545037
p2etg,0,2700,3.1206447831071107,0.18142387556196304,333.42106353164667
p2etg,0,2800,3.1206447831071107,0.18142387556196304,351.56345108784296
p2etg,0,2900,3.1206447831071107,0.18142387556196304,369.70583864403926
p2etg,0,3000,3.1206447831071107,0.18142387556196304,387.84822620023556
p2etg,0,3100,3.302068658669074,0.0,396.91941997833374
p2etg,0,3200,3.302068658669074,0.0,396.91941997833374
