algorithm,feedback,n_seeds,T_stop_mean,T_stop_median,T_stop_std,exact_oracle_match_mean,exact_oracle_match_median,exact_oracle_match_std,false_certification_mean,false_certification_median,false_certification_std,resolved_fraction_at_stop_mean,resolved_fraction_at_stop_median,resolved_fraction_at_stop_std,test_welfare_mean,test_welfare_median,test_welfare_std,certify_seconds_total_mean,certify_seconds_total_median,certify_seconds_total_std
matching_id,bt,20,200000.0,200000.0,0.0,0.95,1.0,0.22360679774997902,0.0,0.0,0.0,0.8297991071428571,0.8303571428571429,0.009631488485958739,5.37751830059104,5.382632987342154,0.022873574518210923,32.996898431214504,5.877167358063161,75.86265310022397
matching_id,replay,20,200000.0,200000.0,0.0,0.55,1.0,0.5104177855340405,0.0,0.0,0.0,0.37321428571428567,0.3727678571428571,0.00994560089562619,5.338450788960705,5.382632987342154,0.07725714273092439,98.34056580604519,82.85870489990339,51.98786579828392
p2etg,bt,20,200000.0,200000.0,0.0,1.0,1.0,0.0,,,,0.8360491071428571,0.8370535714285714,0.009059050141541933,5.382632987342153,5.382632987342154,9.112518314015307e-16,,,
p2etg,replay,20,200000.0,200000.0,0.0,0.2,0.0,0.4103913408340617,,,,0.37421875,0.37834821428571425,0.017520244806547774,5.325430331386242,5.320972942581422,0.08925209364946257,,,
preflid,bt,20,200004.0,200004.0,0.0,1.0,1.0,0.0,,,,0.8283482142857143,0.8303571428571428,0.010315759461132066,5.382632987342153,5.382632987342154,9.112518314015307e-16,,,
preflid,replay,20,200004.0,200004.0,0.0,0.45,0.0,0.5104177855340405,,,,0.3703125,0.3683035714285714,0.01710560204262339,5.324072503424669,5.3519215934728654,0.06628551576581661,,,
