dataset,DeepSeek-R1-0528-Qwen3-8B,Fin-R1,GLM-Z1-9B-0414,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,gemma-2-9b-it,glm-4-9b-chat
emorynlp,0.3684210526315789,0.35645933014354064,0.3373205741626794,0.34210526315789475,0.3444976076555024,0.37559808612440193,0.3708133971291866,0.3684210526315789
finqa,0.7107558139534884,0.6918604651162791,0.6875,0.7034883720930233,0.6424418604651163,0.7354651162790697,0.6409883720930233,0.565406976744186
humaneval,0.22448979591836735,0.7346938775510204,0.6020408163265306,0.4489795918367347,0.8367346938775511,0.6530612244897959,0.6122448979591837,0.7551020408163265
korbench,0.5546666666666666,0.32266666666666666,0.54,0.576,0.33466666666666667,0.532,0.3333333333333333,0.35733333333333334
math500,0.9466666666666667,0.7633333333333333,0.9566666666666667,0.9266666666666666,0.6733333333333333,0.94,0.5,0.5333333333333333
mbpp,0.351027397260274,0.6917808219178082,0.6301369863013698,0.4452054794520548,0.7602739726027398,0.5547945205479452,0.613013698630137,0.6181506849315068
medqa,0.8102094240837696,0.6112565445026178,0.7054973821989529,0.693717277486911,0.47643979057591623,0.7801047120418848,0.6348167539267016,0.6073298429319371
meld,0.5196211096075778,0.5128552097428958,0.4722598105548038,0.510148849797023,0.5331529093369418,0.5399188092016238,0.5358592692828146,0.5548037889039242
