algorithm,seed,stopped,T_stop,final_exact,final_regret,best_regret,final_cum_regret,n_checks,elapsed_seconds
preflid,0,True,12084,True,0.0,0.0,36.00521516009542,2015,0.6970439590513706
preflid,1,False,39996,True,0.0,0.0,47.51866917692133,6666,2.1872781673446298
preflid,2,True,5016,True,0.0,0.0,61.53095641906417,837,0.3628703751601279
preflid,3,True,27078,True,0.0,0.0,20.827694180257204,4514,1.4967318335548043
preflid,4,True,36906,True,0.0,0.0,11.588765487496698,6152,2.023936083074659
preflid,5,True,15432,True,0.0,0.0,39.79748225667318,2573,0.9088045409880579
preflid,6,True,15612,True,0.0,0.0,29.412776657112403,2603,0.9172846246510744
preflid,7,True,36372,True,0.0,0.0,196.8439884173281,6063,1.908827249892056
preflid,8,True,19446,True,0.0,0.0,83.22567972722248,3242,1.122347750235349
preflid,9,True,29796,True,0.0,0.0,20.37010297042231,4967,1.6594920000061393
preflid,10,True,37584,True,0.0,0.0,17.78346720401357,6265,2.033207125030458
preflid,11,True,4818,True,0.0,0.0,21.681739229737364,804,0.3163530002348125
preflid,12,True,21282,True,0.0,0.0,27.54226636896046,3548,1.1804193751886487
preflid,13,True,10752,True,0.0,0.0,73.39381857215669,1793,0.6326837502419949
preflid,14,True,13734,True,0.0,0.0,64.63875941848356,2290,0.762470165733248
preflid,15,True,4992,True,0.0,0.0,33.178607650159016,833,0.3815999999642372
preflid,16,False,39996,True,0.0,0.0,31.76194809637136,6666,2.1292546670883894
preflid,17,True,21216,True,0.0,0.0,49.24835002079719,3537,1.1484124162234366
preflid,18,True,2466,True,0.0,0.0,23.738962985552167,412,0.17896695900708437
preflid,19,True,3786,True,0.0,0.0,23.2973400082109,632,0.22075291676446795
